# Lines starting with ”#” will be treated as comments.;;;;;;;;;;;;;;;;;;;;;;
# This file can be reloaded with the ”reload stats” console command;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;missile weapons only;;;;;;
#;;;;;;;%of dmg that will;;%of dmg that will;;100;50;;;;minimum speed;;;;;;
#;;;;;%bonus dmg;%bonus dmg;go through shields;%bonus dmg;go through armor;;;;;;;of missiles;;;;;;
key;cost;power;min_damage;max_damage;hull_damage;shield_damage;shield_penetration;armor_damage;armor_penetration;min_windup;max_windup;cooldown;range;accuracy;tracking;missile_speed;missile_evasion;missile_shield;missile_armor;missile_health;missile_retarget_range;end


TORPEDO_A_SPATIAL_TORPEDO_1;10;0;5;14;1.25;0.25;0;1;0;25;35;40;30;0.75;0.1;250;0.25;0;0;10;10;
TORPEDO_B_SPATIAL_TORPEDO_1;10;0;5;17;1.25;0.25;0;1;0;15;25;20;40;0.75;0.1;300;0.25;0;0;10;10;
TORPEDO_C_SPATIAL_TORPEDO_1;10;-2;11;32;1.25;0.25;0;1;0;15;25;20;50;0.75;0.1;300;0.25;0;0;10;10;
TORPEDO_D_SPATIAL_TORPEDO_1;20;-4;20;70;1.25;0.25;0;1;0;15;25;20;50;0.75;0.1;300;0.25;0;0;10;10;
TORPEDO_E_SPATIAL_TORPEDO_1;30;-10;40;130;1.25;0.25;0;1;0;15;25;20;60;0.75;0.1;300;0.25;0;0;10;10;
TORPEDO_A_SPATIAL_TORPEDO_2;10;-1;4;10;1.25;0.25;0;1;0;15;25;20;30;0.8;0.2;300;0.25;0;0;20;10;
TORPEDO_B_SPATIAL_TORPEDO_2;10;-2;7;21;1.25;0.25;0;1;0;15;25;20;40;0.8;0.2;300;0.25;0;0;20;10;
TORPEDO_A_SPATIAL_TORPEDO_3;10;-1;4;14;1.25;0.25;0;1;0;15;25;20;30;0.8;0.2;300;0.25;0;0;30;10;
TORPEDO_B_SPATIAL_TORPEDO_3;20;-3;9;26;1.25;0.25;0;1;0;15;25;20;40;0.8;0.2;300;0.25;0;0;30;10;
TORPEDO_A_GRAVIMETRIC_TORPEDO_1;20;-2;13;39;1;0.25;0;1.25;0;10;20;80;30;0.8;0.2;325;0;0;0;0;100;
TORPEDO_B_GRAVIMETRIC_TORPEDO_1;30;-6;38;114;1;0.25;0;1.25;0;15;25;120;40;0.8;0.2;300;0;0;0;0;90;
TORPEDO_C_GRAVIMETRIC_TORPEDO_1;70;-15;80;220;1;0.25;0;1.25;0;15;25;120;50;0.8;0.2;300;0;0;0;0;90;
TORPEDO_D_GRAVIMETRIC_TORPEDO_1;120;-35;150;460;1;0.25;0;1.25;0;15;25;120;50;0.8;0.2;300;0;0;0;0;90;
TORPEDO_E_GRAVIMETRIC_TORPEDO_1;240;-88;400;1210;1;0.25;0;1.25;0;20;30;160;60;0.8;0.2;275;0;0;0;0;80;
TORPEDO_A_GRAVIMETRIC_TORPEDO_2;30;-3;15;47;1;0.25;0;1.25;0;10;20;80;30;0.8;0.2;325;0;0;0;0;100;
